image1,image1_path,image2,image2_path,distance,confidence,similarity
108_c76f77e2.jpg,(datasets/house_styles/all_images/108_c76f77e2.jpg),034_ad26fac6.jpg,(datasets/house_styles/all_images/034_ad26fac6.jpg),0.9999,0.0001,1
427_31f4d6f2.jpg,(datasets/house_styles/all_images/427_31f4d6f2.jpg),366_6a85a605.jpg,(datasets/house_styles/all_images/366_6a85a605.jpg),0.9999,0.0001,1
310_10bdb154.jpg,(datasets/house_styles/all_images/310_10bdb154.jpg),382_761139e9.jpg,(datasets/house_styles/all_images/382_761139e9.jpg),0.9997,0.0003,2
388_aa0bd42a.jpg,(datasets/house_styles/all_images/388_aa0bd42a.jpg),360_28ef686b.jpg,(datasets/house_styles/all_images/360_28ef686b.jpg),0.9996,0.0004,1
142_a3bbdd3d.jpg,(datasets/house_styles/all_images/142_a3bbdd3d.jpg),123_aa386d79.jpg,(datasets/house_styles/all_images/123_aa386d79.jpg),0.9996,0.0004,3
077_fd3da9e2.jpg,(datasets/house_styles/all_images/077_fd3da9e2.jpg),035_6e7ff66b.jpg,(datasets/house_styles/all_images/035_6e7ff66b.jpg),1.0005,0.0005,3
212_aea88577.jpg,(datasets/house_styles/all_images/212_aea88577.jpg),087_24c73d10.jpg,(datasets/house_styles/all_images/087_24c73d10.jpg),1.0006,0.0006,2
212_aea88577.jpg,(datasets/house_styles/all_images/212_aea88577.jpg),125_743047fb.jpg,(datasets/house_styles/all_images/125_743047fb.jpg),1.0006,0.0006,2
155_732ad883.jpg,(datasets/house_styles/all_images/155_732ad883.jpg),153_acb5cd48.jpg,(datasets/house_styles/all_images/153_acb5cd48.jpg),0.9992,0.0008,3
105_1c926771.jpg,(datasets/house_styles/all_images/105_1c926771.jpg),315_59373113.jpg,(datasets/house_styles/all_images/315_59373113.jpg),0.9991,0.0009,1
081_156ea596.jpg,(datasets/house_styles/all_images/081_156ea596.jpg),057_28786773.jpg,(datasets/house_styles/all_images/057_28786773.jpg),0.9988,0.0012,2
202_55578dea.jpg,(datasets/house_styles/all_images/202_55578dea.jpg),082_40db5260.jpg,(datasets/house_styles/all_images/082_40db5260.jpg),1.0014,0.0014,2
304_7774d253.jpg,(datasets/house_styles/all_images/304_7774d253.jpg),112_f21e8af7.jpg,(datasets/house_styles/all_images/112_f21e8af7.jpg),0.9985,0.0015,2
384_7bba4266.jpg,(datasets/house_styles/all_images/384_7bba4266.jpg),291_87a33ca7.jpg,(datasets/house_styles/all_images/291_87a33ca7.jpg),1.0015,0.0015,1
097_41e7ad48.jpg,(datasets/house_styles/all_images/097_41e7ad48.jpg),221_cbdbfa68.jpg,(datasets/house_styles/all_images/221_cbdbfa68.jpg),1.0015,0.0015,3
221_cbdbfa68.jpg,(datasets/house_styles/all_images/221_cbdbfa68.jpg),138_03bf52ae.jpg,(datasets/house_styles/all_images/138_03bf52ae.jpg),1.0015,0.0015,3
097_41e7ad48.jpg,(datasets/house_styles/all_images/097_41e7ad48.jpg),136_9f1a39c1.jpg,(datasets/house_styles/all_images/136_9f1a39c1.jpg),0.9984,0.0016,3
037_326d0815.jpg,(datasets/house_styles/all_images/037_326d0815.jpg),060_26c18ddf.jpg,(datasets/house_styles/all_images/060_26c18ddf.jpg),0.9984,0.0016,2
168_bbf12d12.jpg,(datasets/house_styles/all_images/168_bbf12d12.jpg),171_18d3b628.jpg,(datasets/house_styles/all_images/171_18d3b628.jpg),1.0017,0.0017,1
201_edbb9f6e.jpg,(datasets/house_styles/all_images/201_edbb9f6e.jpg),225_25606f44.jpg,(datasets/house_styles/all_images/225_25606f44.jpg),1.0019,0.0019,2
225_25606f44.jpg,(datasets/house_styles/all_images/225_25606f44.jpg),199_e4e5df84.jpg,(datasets/house_styles/all_images/199_e4e5df84.jpg),1.0019,0.0019,2
018_7868b4d7.jpg,(datasets/house_styles/all_images/018_7868b4d7.jpg),510_95629ee6.jpg,(datasets/house_styles/all_images/510_95629ee6.jpg),1.0022,0.0022,1
294_3260f65d.jpg,(datasets/house_styles/all_images/294_3260f65d.jpg),153_acb5cd48.jpg,(datasets/house_styles/all_images/153_acb5cd48.jpg),0.9977,0.0023,3
201_edbb9f6e.jpg,(datasets/house_styles/all_images/201_edbb9f6e.jpg),019_61d9365b.jpg,(datasets/house_styles/all_images/019_61d9365b.jpg),1.0024,0.0024,3
257_f1b4cd5b.jpg,(datasets/house_styles/all_images/257_f1b4cd5b.jpg),075_7b7e25b1.jpg,(datasets/house_styles/all_images/075_7b7e25b1.jpg),0.9974,0.0026,2
125_b3f68f40.jpg,(datasets/house_styles/all_images/125_b3f68f40.jpg),010_0e38a333.jpg,(datasets/house_styles/all_images/010_0e38a333.jpg),0.9971,0.0029,3
159_f211f05e.jpg,(datasets/house_styles/all_images/159_f211f05e.jpg),201_edbb9f6e.jpg,(datasets/house_styles/all_images/201_edbb9f6e.jpg),0.9971,0.0029,2
